Run,Cloud,Job Conf,Workflow,History,Server,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes),Memory Soft Limit
1,c2,4x8,2b1f44c39c87bcca,e31277ecf4199b58,http://34.73.40.159:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,29.0000000,42910290120.0000000,4999999488.0000000,16343040.0000000,9223372036854771712.0000000
1,c2,16x32,4563a60c7ce8a92f,a2ee00cea955e8b1,http://34.73.40.159:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,186.0000000,731818543901.0000000,16000000000.0000000,12698882048.0000000,9223372036854771712.0000000
0,n2,16x32,00cc7bba7f14f031,ce1c45353da0d182,http://34.75.249.162:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,199.0000000,785092998645.0000000,16000000000.0000000,11916611584.0000000,9223372036854771712.0000000
0,n2,default,79e052a475e6668b,8ab117b2e503c4d5,http://34.75.249.162:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,649.0000000,709395747134.0000000,9999998976.0000000,5928681472.0000000,9223372036854771712.0000000
1,n2,4x8,8cd9256b535acf7f,4a1ebc34e1cd6d4c,http://34.75.249.162:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,70.0000000,139448576181.0000000,9999998976.0000000,8992063488.0000000,9223372036854771712.0000000
1,e2,8x16,6891a40878670c62,99259a3f5197e938,http://34.138.22.88:8000/galaxy/,bwa_mem,0.7.17.1,ok,4.0000000,8000.0000000,285.0000000,1087955584553.0000000,16000000000.0000000,11700613120.0000000,9223372036854771712.0000000
1,e2,4x8,06ce99249061d778,c92d77eb191e3a48,http://34.138.22.88:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,97.0000000,180608920919.0000000,9999998976.0000000,8433586176.0000000,9223372036854771712.0000000
0,e2,default,f3571de78c266585,859ae213ae73bac7,http://34.138.22.88:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,32.0000000,42036494473.0000000,4999999488.0000000,16187392.0000000,9223372036854771712.0000000
1,n2,default,79e052a475e6668b,79e2b3bcad4c7e04,http://34.75.249.162:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,30.0000000,40244138862.0000000,4999999488.0000000,16211968.0000000,9223372036854771712.0000000
0,c2,4x8,2b1f44c39c87bcca,f6c8332a500f294b,http://34.73.40.159:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,67.0000000,131537600961.0000000,9999998976.0000000,9331322880.0000000,9223372036854771712.0000000
0,e2,16x32,2138d9e23370493f,9426eadb72701541,http://34.138.22.88:8000/galaxy/,hisat2,2.1.0+galaxy7,ok,2.0000000,4000.0000000,111.0000000,195945698511.0000000,9999998976.0000000,9291915264.0000000,9223372036854771712.0000000
1,n2,4x8,8cd9256b535acf7f,4a1ebc34e1cd6d4c,http://34.75.249.162:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,399.0000000,1359814421373.0000000,16000000000.0000000,11304718336.0000000,9223372036854771712.0000000
1,n1,8x16,68b77645c1492f6d,3eaebb45f34866e9,http://35.231.186.105:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,49.0000000,76940170147.0000000,4999999488.0000000,16232448.0000000,9223372036854771712.0000000
0,n2,4x8,8cd9256b535acf7f,0f352045104c4f15,http://34.75.249.162:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,402.0000000,1363560071323.0000000,16000000000.0000000,11360780288.0000000,9223372036854771712.0000000
1,c2,8x16,a53cc1dd7d2490b0,7eaff4edbfdd89ac,http://34.73.40.159:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,319.0000000,637633011398.0000000,9999998976.0000000,7239024640.0000000,9223372036854771712.0000000
1,n1,8x16,68b77645c1492f6d,3eaebb45f34866e9,http://35.231.186.105:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,452.0000000,905603733705.0000000,9999998976.0000000,7492915200.0000000,9223372036854771712.0000000
0,n2,4x8,8cd9256b535acf7f,0f352045104c4f15,http://34.75.249.162:8000/galaxy/,stringtie,2.1.1,ok,1.0000000,2000.0000000,32.0000000,45680821284.0000000,4999999488.0000000,17588224.0000000,9223372036854771712.0000000
1,n1,16x32,9a97e21eece60c70,af8549dd761318d1,http://35.231.186.105:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,526.0000000,1763936964570.0000000,16000000000.0000000,11303567360.0000000,9223372036854771712.0000000
0,e2,8x16,6891a40878670c62,579102256baf50ea,http://34.138.22.88:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,387.0000000,772492870348.0000000,9999998976.0000000,7567568896.0000000,9223372036854771712.0000000
0,e2,default,f3571de78c266585,859ae213ae73bac7,http://34.138.22.88:8000/galaxy/,bowtie2,2.4.2+galaxy0,ok,2.0000000,4000.0000000,654.0000000,746682426488.0000000,9999998976.0000000,6172409856.0000000,9223372036854771712.0000000
0,n2,16x32,00cc7bba7f14f031,ce1c45353da0d182,http://34.75.249.162:8000/galaxy/,bwa,0.7.17.4,ok,4.0000000,8000.0000000,404.0000000,1369598151965.0000000,16000000000.0000000,11353579520.0000000,9223372036854771712.0000000
