,month_year,numusers,tool_name_version
273, 2021-05 ,       33,gd_filter_gd_snp/1.2.0                                                        
274, 2021-05 ,       33,gd_filter_gd_snp/1.2.0                                                        
275, 2021-05 ,       32,gd_filter_gd_snp/1.2.0                                                        
276, 2021-05 ,       32,gd_filter_gd_snp/1.2.0                                                        
277, 2021-05 ,       32,gd_filter_gd_snp/1.2.0                                                        
278, 2021-05 ,       32,gd_filter_gd_snp/1.2.0                                                        
279, 2021-05 ,       32,gd_filter_gd_snp/1.2.0                                                        
280, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
281, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
282, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
283, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
284, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
285, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
286, 2021-05 ,       31,gd_filter_gd_snp/1.2.0                                                        
287, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
288, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
289, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
290, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
291, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
292, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
293, 2021-05 ,       30,gd_filter_gd_snp/1.2.0                                                        
294, 2021-05 ,       29,gd_filter_gd_snp/1.2.0                                                        
295, 2021-05 ,       29,gd_filter_gd_snp/1.2.0                                                        
296, 2021-05 ,       29,gd_filter_gd_snp/1.2.0                                                        
297, 2021-05 ,       29,gd_filter_gd_snp/1.2.0                                                        
298, 2021-05 ,       28,gd_filter_gd_snp/1.2.0                                                        
299, 2021-05 ,       28,gd_filter_gd_snp/1.2.0                                                        
300, 2021-05 ,       28,gd_filter_gd_snp/1.2.0                                                        
301, 2021-05 ,       28,gd_filter_gd_snp/1.2.0                                                        
302, 2021-05 ,       28,gd_filter_gd_snp/1.2.0                                                        
303, 2021-05 ,       28,gd_filter_gd_snp/1.2.0                                                        
304, 2021-05 ,       27,gd_filter_gd_snp/1.2.0                                                        
305, 2021-05 ,       27,gd_filter_gd_snp/1.2.0                                                        
306, 2021-05 ,       27,gd_filter_gd_snp/1.2.0                                                        
307, 2021-05 ,       27,gd_filter_gd_snp/1.2.0                                                        
308, 2021-05 ,       26,gd_filter_gd_snp/1.2.0                                                        
309, 2021-05 ,       26,gd_filter_gd_snp/1.2.0                                                        
310, 2021-05 ,       26,gd_filter_gd_snp/1.2.0                                                        
311, 2021-05 ,       26,gd_filter_gd_snp/1.2.0                                                        
312, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
313, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
314, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
315, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
316, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
317, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
318, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
319, 2021-05 ,       25,gd_filter_gd_snp/1.2.0                                                        
320, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
321, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
322, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
323, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
324, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
325, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
326, 2021-05 ,       24,gd_filter_gd_snp/1.2.0                                                        
327, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
328, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
329, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
330, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
331, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
332, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
333, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
334, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
335, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
336, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
337, 2021-05 ,       23,gd_filter_gd_snp/1.2.0                                                        
338, 2021-05 ,       22,gd_filter_gd_snp/1.2.0                                                        
339, 2021-05 ,       22,gd_filter_gd_snp/1.2.0                                                        
340, 2021-05 ,       22,gd_filter_gd_snp/1.2.0                                                        
341, 2021-05 ,       22,gd_filter_gd_snp/1.2.0                                                        
342, 2021-05 ,       22,gd_filter_gd_snp/1.2.0                                                        
343, 2021-05 ,       22,gd_filter_gd_snp/1.2.0                                                        
344, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
345, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
346, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
347, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
348, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
349, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
350, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
351, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
352, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
353, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
354, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
355, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
356, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
357, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
358, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
359, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
360, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
361, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
362, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
363, 2021-05 ,       21,gd_filter_gd_snp/1.2.0                                                        
364, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
365, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
366, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
367, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
368, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
369, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
370, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
371, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
